"classification_name","classification_code","company_id"
Regional Systems Integrator,RSI,37527
Regional Systems Integrator,RSI,37528
Value Added Reseller,VAR,37529
Cloud Service Provider,CSP,37530
Value Added Reseller,VAR,37530
Independent Software Vendor,ISV,37530
Independent Software Vendor,ISV,37531
Independent Software Vendor,ISV,37532
Independent Software Vendor,ISV,37533
Regional Systems Integrator,RSI,37534
Cloud Service Provider,CSP,37541
Value Added Reseller,VAR,37541
Independent Software Vendor,ISV,37541
Managed Service Provider,MSP,37542
Cloud Service Provider,CSP,37542
Regional Systems Integrator,RSI,37542
Value Added Reseller,VAR,37543
Cloud Service Provider,CSP,37544
Independent Software Vendor,ISV,37544
Regional Systems Integrator,RSI,37545
Regional Systems Integrator,RSI,37547
Independent Software Vendor,ISV,37549
Independent Software Vendor,ISV,37550
Independent Software Vendor,ISV,37551
Cloud Service Provider,CSP,37552
Regional Systems Integrator,RSI,37552
Independent Software Vendor,ISV,37553
Managed Service Provider,MSP,37554
Independent Software Vendor,ISV,37554
Regional Systems Integrator,RSI,37554
Independent Software Vendor,ISV,37555
Independent Software Vendor,ISV,37556
Managed Service Provider,MSP,37557
Cloud Service Provider,CSP,37557
Value Added Reseller,VAR,37557
Independent Software Vendor,ISV,37557
Regional Systems Integrator,RSI,37557
Managed Service Provider,MSP,37558
Independent Software Vendor,ISV,37558
Regional Systems Integrator,RSI,37559
Regional Systems Integrator,RSI,37560
Regional Systems Integrator,RSI,37561
Cloud Service Provider,CSP,37567
Value Added Reseller,VAR,37567
Independent Software Vendor,ISV,37567
