"parent_industry","industry","company_id"
Professional Services,Business Services,76308
Banking,Banking and Financial Services,76314
Utilities,Utilities,76318
Banking,Banking and Financial Services,76318
Retail,Retail,76318
Discrete Manufacturing,Automotive,76319
Banking,Banking and Financial Services,76321
Education,Education,76321
Utilities,Utilities,76324
Banking,Banking and Financial Services,76324
Construction,Construction,76324
Personal and Consumer Services,Consumer & Recreational Services,76324
Retail,Retail,76325
Education,Education,76332
Discrete Manufacturing,Automotive,76333
Construction,Construction,76333
Education,Education,76333
Professional Services,Business Services,76340
Banking,Banking and Financial Services,76340
Telecommunications,Communications Services,76340
Education,Education,76342
Education,Education,76344
Retail,Retail,76344
Media,Media,76347
Banking,Banking and Financial Services,76347
Construction,Construction,76347
Education,Education,76347
Transportation,Transportation,76347
Media,Media,76349
Banking,Banking and Financial Services,76349
Construction,Construction,76349
Education,Education,76349
Retail,Retail,76349
Construction,Construction,76355
Education,Education,76355
Media,Media,76357
Retail,Retail,76357
Retail,Retail,76358
Education,Education,76359
Banking,Banking and Financial Services,76366
Banking,Banking and Financial Services,76369
Professional Services,Business Services,76370
Education,Education,76371
Professional Services,Software and IT Services,76379
Construction,Construction,76384
Professional Services,Business Services,76387
Education,Education,76387
Banking,Banking and Financial Services,76388
Professional Services,Business Services,76389
Construction,Construction,76389
Education,Education,76389
Retail,Retail,76389
Retail,Retail,76391
Utilities,Utilities,76399
Banking,Banking and Financial Services,76399
Construction,Construction,76399
Transportation,Transportation,76399
Banking,Banking and Financial Services,76401
Construction,Construction,76401
Education,Education,76401
Retail,Retail,76404
Retail,Retail,76408
Banking,Banking and Financial Services,76409
Professional Services,Software and IT Services,76412
Healthcare Provider,Health,76412
Education,Education,76418
Retail,Retail,76419
Education,Education,76420
Discrete Manufacturing,Other Discrete Manufacturing,76420
Healthcare Provider,Health,76420
Transportation,Transportation,76422
Utilities,Utilities,76427
Professional Services,Business Services,76427
Discrete Manufacturing,Automotive,76427
Education,Education,76427
Retail,Retail,76427
Education,Education,76434
Education,Education,76435
Transportation,Transportation,76435
Retail,Retail,76438
Utilities,Utilities,76440
Banking,Banking and Financial Services,76440
Construction,Construction,76440
Education,Education,76440
Transportation,Transportation,76440
Retail,Retail,76440
Construction,Construction,76441
Professional Services,Business Services,76442
Professional Services,Software and IT Services,76442
Education,Education,76442
Retail,Retail,76442
Professional Services,Software and IT Services,76450
Professional Services,Business Services,76452
Transportation,Transportation,76452
Construction,Construction,76456
Retail,Retail,76456
Professional Services,Business Services,76460
Retail,Retail,76461
Media,Media,76462
Professional Services,Business Services,76464
Banking,Banking and Financial Services,76464
Discrete Manufacturing,Automotive,76464
Retail,Other Retail,76464
Telecommunications,Communications Services,76464
Construction,Construction,76466
Media,Media,76473
Banking,Banking and Financial Services,76475
Construction,Construction,76475
Education,Education,76475
Construction,Construction,76476
Education,Education,76477
Retail,Retail,76477
Banking,Banking and Financial Services,76478
Transportation,Transportation,76478
Media,Media,76481
Education,Education,76481
Construction,Construction,76492
Education,Education,76493
Education,Education,76495
Retail,Retail,76497
Construction,Construction,76504
Retail,Retail,76504
Professional Services,Business Services,76509
Utilities,Utilities,76511
Professional Services,Business Services,76511
Construction,Construction,76511
